,pred_آ,pred_ا,pred_ب,pred_پ,pred_ت,pred_ن,pred_م
true_آ,54,0,0,0,0,0,0
true_ا,0,52,0,0,0,0,1
true_ب,0,0,51,2,0,0,0
true_پ,0,0,15,38,0,0,0
true_ت,0,0,2,0,50,1,0
true_ن,0,0,0,0,2,52,0
true_م,0,0,0,0,0,0,53
